bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
34600,The Treasure Principle: Unlocking the Secret of Joyful Giving,4.05,4.13,1590525086,9781590525081,3.92,120,4088,290,1002556800,4.0
2140,Blink: The Power of Thinking Without Thinking,3.94,3.93,316172324,9780316172325,3.92,277,4254,355,1105372800,4.01
13585,ツバサ-RESERVoir CHRoNiCLE- 3,4.17,4.28,4063633225,9784063633221,4.23,190,7,1,1071590400,4.19
31172,The Juvenilia of Jane Austen and Charlotte Brontë,4.04,3.86,140432671,9780140432671,3.94,400,217,7,528998400,3.91
44149,Lock 14,3.81,3.63,143037277,9780143037279,3.92,154,406,45,1153756800,3.91
43378,A Long Short War: The Postponed Liberation of Iraq,4.02,3.75,452284988,9780452284982,3.92,112,371,24,1054569600,3.9
37023,Margaret Atwood's Power: Mirrors  Reflections and Images in Select Fiction and Poetry,3.76,3.43,092900549X,9780929005492,3.94,176,7,1,749836800,3.76
15529,II Maccabees,4.06,4.04,385048645,9780385048644,3.94,595,24,2,434649600,3.96
8205,Writings to Young Women on Laura Ingalls Wilder: As Told By Her Family  Friends  and Neighbors (Writings to Young Women on Laura Ingalls Wilder #3),4.0,3.98,1400307864,9781400307869,3.94,128,41,2,1147017600,4.06
15581,Ferdydurke,3.94,3.86,300082401,9780300082401,3.94,320,8193,198,965923200,3.98
1558,Oedipus Rex (Greek and Latin Classics),3.89,3.7,521617359,9780521617352,3.62,214,218,1,1154361600,3.93
15924,At First Sight (Jeremy Marsh & Lexie Darnell  #2),3.99,3.82,446698466,9780446698467,3.94,204,68379,3083,1157385600,3.92
35206,Rashōmon and Seventeen Other Stories,3.94,4.13,143039849,9780143039846,3.94,268,4813,239,1162224000,3.94
26314,Medal of Honor: Rising Sun (Prima's Official Strategy Guide),3.84,3.67,761542914,9780761542919,3.94,96,3,1,1069084800,4.08
24346,Nicomachean Ethics,3.94,3.94,1585100358,9781585100354,3.94,240,238,29,1009814400,3.82
5931,The Essential Neruda: Selected Poems,4.12,4.46,872864286,9780872864283,3.94,200,5149,210,1080748800,4.0
20913,The John Deere Two-Cylinder Tractor Encyclopedia: The Complete Model-by-Model History,4.2,4.75,076032963X,9780760329634,3.94,256,4,0,1179158400,4.19
20234,Wings of Fire (Inspector Ian Rutledge  #2),4.0,3.99,312965680,9780312965686,3.94,323,5029,438,926697600,3.92
43780,Vampire Chronicles: Interview with the Vampire  The Vampire Lestat  The Queen of the Damned (Anne Rice),3.99,4.27,679410503,9780679410508,3.94,9,10350,120,721929600,4.0
8745,Desert Flower,3.96,4.15,688172377,9780688172374,3.94,240,11981,735,1300118400,3.75
28570,The Devil's Teardrop,3.94,4.0,671038443,9780671038441,3.92,451,6283,268,954518400,3.96
26842,Pies and Tarts,3.88,3.82,783502001,9780783502007,3.94,108,18,2,927475200,3.87
20076,Maelstrom,3.89,3.88,345470044,9780345470041,3.94,237,1088,37,1170172800,3.9
63,The Changeling,3.82,3.55,1590301943,9781590301944,3.94,339,301,43,1113235200,4.1
32487,Shakespeare After All,3.98,4.38,385722141,9780385722148,3.94,1008,852,62,1127145600,3.86
15654,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,4.0,4.14,451203267,9780451203267,3.94,548,54029,2779,991324800,3.95
12561,The Guardian,3.81,3.72,785282092,9780785282099,3.94,239,83,20,788803200,3.85
8858,Death of a Poison Pen (Hamish Macbeth  #19),3.83,3.83,446614890,9780446614894,3.92,227,3318,204,1104508800,3.91
18812,Dostoevsky: The Stir of Liberation  1860-1865,4.23,4.51,691014523,9780691014524,3.94,416,118,15,596044800,4.13
17043,Essentials of American Government: Continuity and Change,3.54,3.5,032127623X,9780321276230,3.94,604,4,0,1112284800,3.66
40451,Black Widow: The Things They Say About Her,3.78,3.47,785117687,9780785117681,3.94,144,302,33,1149609600,3.91
29529,Rebirth Volume 5,3.96,4.03,1591822203,9781591822202,3.94,184,102,2,1070294400,4.07
18561,Everest: Mountain Without Mercy,3.96,4.03,792269845,9780792269847,3.94,256,36,2,1049126400,3.95
33279,Clock of the Long Now: Time and Responsibility: The Ideas Behind the World's Slowest Computer,3.96,4.1,465007805,9780465007806,3.94,208,526,63,954950400,4.07
44157,Maigret à New York (Maigret  #27),3.78,3.55,2253142425,9782253142423,3.98,189,315,15,1038931200,3.8
